Date/Time,Cogeneration:ElectricitySurplusSold [J](Hourly),Cogeneration:ElectricityPurchased [J](Hourly),Photovoltaic:ElectricityProduced [J](Hourly) 
 01/13  23:00:00,0.0,5563526.94733223,0.0 
 01/13  24:00:00,0.0,4282575.05999089,0.0 
 01/14  01:00:00,0.0,4518271.76840202,0.0 
 01/14  02:00:00,0.0,5683925.83500558,0.0 
 01/14  03:00:00,0.0,6750628.78020017,0.0 
 01/14  04:00:00,0.0,7903879.53320943,0.0 
 01/14  05:00:00,0.0,9407828.53549593,0.0 
 01/14  06:00:00,0.0,11339728.0636133,0.0 
 01/14  07:00:00,0.0,12700526.1862152,0.0 
 01/14  08:00:00,0.0,12112189.570434,501100.099212295 
 01/14  09:00:00,0.0,4763987.63203112,4257502.91519994 
 01/14  10:00:00,1795591.94153046,0.0,8267356.35815824 
 01/14  11:00:00,4980236.19896494,0.0,11043704.5139736 
 01/14  12:00:00,7336850.65775815,0.0,13084388.3145967 
 01/14  13:00:00,7993161.4967745,0.0,13952383.9979901 
 01/14  14:00:00,6661022.81509101,0.0,13027339.8999709 
 01/14  15:00:00,4221501.21880305,0.0,10979446.5786079 
 01/14  16:00:00,517177.158516326,270705.609172903,7642817.92831907 
 01/14  17:00:00,0.0,4094872.65338284,4476005.8328203 
 01/14  18:00:00,0.0,8579994.031513,508190.752797356 
 01/14  19:00:00,0.0,9559810.80055406,0.0 
 01/14  20:00:00,0.0,9146062.39893486,0.0 
 01/14  21:00:00,0.0,8552627.93784615,0.0 
 01/14  22:00:00,0.0,7409642.56862803,0.0 
 01/14  23:00:00,0.0,5833649.5461481,0.0 
 01/14  24:00:00,0.0,4440261.39400791,0.0 
 01/15  01:00:00,0.0,3649537.24375699,0.0 
 01/15  02:00:00,0.0,4890826.52774082,0.0 
 01/15  03:00:00,0.0,5852727.07202639,0.0 
 01/15  04:00:00,0.0,6812904.73475349,0.0 
 01/15  05:00:00,0.0,7871516.20324547,0.0 
 01/15  06:00:00,0.0,9511961.42147451,0.0 
 01/15  07:00:00,0.0,11103826.7868382,0.0 
 01/15  08:00:00,0.0,11769330.5704397,56237.5979920909 
 01/15  09:00:00,0.0,11493593.6680534,459681.954900914 
 01/15  10:00:00,0.0,9833151.899448,1182562.59465054 
 01/15  11:00:00,0.0,8588191.46566521,1438002.14386064 
